frame_id,track_id,filter_mode,final_calculated_distance
1,1,1,0.472018
2,1,1,0.483875
3,1,1,0.486321
4,1,1,0.486321
5,1,1,0.486321
6,1,1,0.486321
7,1,1,0.486321
8,1,1,0.486321
9,1,1,0.486321
10,1,1,0.486321
11,1,1,0.486321
12,1,1,0.486321
13,1,1,0.486321
14,1,1,0.486321
15,1,1,0.486321
16,1,1,0.486321
17,1,1,0.486321
18,1,1,0.486321
19,1,1,0.486321
20,1,1,0.486321
21,1,1,0.486321
22,1,1,0.486321
23,1,1,0.486321
24,1,1,0.486321
25,1,1,0.486321
26,1,1,0.486321
27,1,1,0.486321
28,1,1,0.486321
29,1,1,0.486321
30,1,1,0.486321
31,1,1,0.486321
32,1,1,0.486321
33,1,1,0.486321
34,1,1,0.486321
35,1,1,0.486321
36,1,1,0.486321
37,1,1,0.483875
38,1,1,0.486321
39,1,1,0.486321
40,1,1,0.486321
41,1,1,0.486321
42,1,1,0.486321
43,1,1,0.486321
44,1,1,0.486321
45,1,1,0.486321
46,1,1,0.486321
47,1,1,0.486321
48,1,1,0.486321
49,1,1,0.486321
50,1,1,0.486321
51,1,1,0.486321
52,1,1,0.486321
53,1,1,0.486321
54,1,1,0.486321
55,1,1,0.486321
56,1,1,0.486321
57,1,1,0.486321
58,1,1,0.486321
59,1,1,0.486321
60,1,1,0.486321
61,1,1,0.486321
62,1,1,0.486321
63,1,1,0.486321
64,1,1,0.486321
65,1,1,0.486321
66,1,1,0.486321
67,1,1,0.486321
68,1,1,0.486321
69,1,1,0.486321
70,1,1,0.486321
71,1,1,0.486321
72,1,1,0.486321
73,1,1,0.486321
74,1,1,0.486321
75,1,1,0.486321
76,1,1,0.486321
77,1,1,0.486321
78,1,1,0.486321
79,1,1,0.486321
80,1,1,0.486321
81,1,1,0.486321
82,1,1,0.486321
83,1,1,0.486321
84,1,1,0.486321
85,1,1,0.486321
86,1,1,0.486321
87,1,1,0.486321
88,1,1,0.486321
89,1,1,0.486321
90,1,1,0.486321
91,1,1,0.486321
92,1,1,0.486321
93,1,1,0.486321
94,1,1,0.486321
95,1,1,0.486321
96,1,1,0.486321
97,1,1,0.486321
98,1,1,0.486321
99,1,1,0.486321
100,1,1,0.486321
101,1,1,0.486321
102,1,1,0.486321
103,1,1,0.486321
104,1,1,0.486321
105,1,1,0.486321
106,1,1,0.486321
107,1,1,0.486321
108,1,1,0.486321
109,1,1,0.486321
110,1,1,0.486321
111,1,1,0.486321
112,1,1,0.486321
113,1,1,0.486321
114,1,1,0.486321
115,1,1,0.486321
116,1,1,0.486321
117,1,1,0.486321
118,1,1,0.486321
119,1,1,0.486321
120,1,1,0.486321
121,1,1,0.486321
122,1,1,0.486321
123,1,1,0.486321
124,1,1,0.486321
125,1,1,0.486321
126,1,1,0.486321
127,1,1,0.486321
128,1,1,0.486321
129,1,1,0.486321
130,1,1,0.486321
131,1,1,0.486321
132,1,1,0.486321
133,1,1,0.486321
134,1,1,0.486321
135,1,1,0.486321
136,1,1,0.486321
